院校名称,院校ID
上海外国语大学贤达经济人文学院,52
大连理工大学城市学院,869
黄河交通学院,981
广州软件学院,4120
陆军防化学院,4245
解放军陆军航空兵学院,244
中国人民解放军战略支援部队航天工程大学,2537
陆军工程大学,1490
长春电子科技学院,4121
武汉纺织大学外经贸学院,1025
中国人民解放军海军航空大学,684
河南工程学院,589
河南开封科技传媒学院,4122
黑龙江外国语学院,498
三亚学院,874
西交利物浦大学,1161
四川警察学院,1136
湖北第二师范学院,45
浙江水利水电学院,358
吉林动画学院,1494
广西艺术学院,1502
四川音乐学院,702
河北传媒学院,505
海口经济学院,611
四川工商学院,1047
燕京理工学院,806
青岛城市学院,4123
北京中医药大学东方学院,941
河北地质大学华信学院,1783
无锡学院,4124
河北师范大学汇华学院,1158
长春建筑学院,500
西安财经大学行知学院,324
长春工业大学人文信息学院,1125
河南警察学院,1129
南开大学滨海学院,428
海南科技职业大学,1550
江苏大学京江学院,1124
南京师范大学泰州学院,1021
烟台理工学院,4125
珠海科技学院,4126
北京第二外国语学院中瑞酒店管理学院,504
哈尔滨工业大学(威海),4247
沧州交通学院,4127
上海视觉艺术学院,1319
重庆对外经贸学院,4128
重庆外语外事学院,4129
重庆城市科技学院,4130
重庆财经学院,4131
重庆移通学院,4132
重庆工商大学派斯学院,1155
重庆机电职业技术大学,2401
重庆第二师范学院,633
重庆警察学院,1817
重庆工程学院,649
荆楚理工学院,1015
郑州工业应用技术学院,856
河南城建学院,228
亳州学院,2260
琼台师范学院,764
中原科技学院,4133
信阳学院,1122
河北东方学院,1726
山东财经大学东方学院,1135
南通理工学院,2223
大连财经学院,334
集宁师范学院,41
常州大学怀德学院,518
青海大学昆仑学院,772
武汉设计工程学院,922
延安大学西安创新学院,543
兰州博文科技学院,4134
贵州商学院,230
贵州师范学院,586
内蒙古鸿德文理学院,4135
河北医科大学临床学院,864
河北经贸大学经济管理学院,329
石家庄铁道大学四方学院,546
河北农业大学现代科技学院,606
燕山大学里仁学院,548
河北工程大学科信学院,1128
六盘水师范学院,910
天津仁爱学院,4136
吉林工商学院,1002
吉林警察学院,817
吉林建筑科技学院,687
长春人文学院,4137
河套学院,1003
吕梁学院,536
山西警察学院,2044
太原学院,216
山西工程技术学院,2010
山西工程科技职业大学,4138
山西应用科技学院,2521
沈阳工学院,2439
辽宁传媒学院,2050
辽宁理工职业大学,4139
甘肃医学院,2471
兰州工业学院,909
兰州石化职业技术大学,4140
兰州文理学院,989
兰州资源环境职业技术大学,4141
广西科技师范学院,2163
桂林航天工业学院,639
桂林旅游学院,2757
广西警察学院,2011
广西农业职业技术大学,4142
广西城市职业大学,2762
北海艺术设计学院,1751
南宁学院,2610
浙江警察学院,973
武警海警学院,4248
浙江药科职业大学,4143
杭州医学院,1614
浙江树人学院,2755
浙江广厦建设职业技术大学,4144
蚌埠学院,900
池州学院,1010
合肥师范学院,626
安徽三联学院,1109
安徽新华学院,1483
安徽文达信息工程学院,2296
武夷学院,636
福建警察学院,1272
宁德师范学院,642
福建商学院,2573
厦门医学院,862
厦门大学嘉庚学院,423
阳光学院,767
福建师范大学协和学院,1108
福州工商学院,4145
闽南科技学院,276
福州大学至诚学院,605
福建农林大学金山学院,1110
闽南理工学院,604
厦门华厦学院,2756
泉州职业技术大学,2663
泉州信息工程学院,1561
福州理工学院,2278
新乡学院,1184
河南财政金融学院,1070
郑州工程技术学院,2207
新乡医学院三全学院,323
湖北大学知行学院,373
武汉工商学院,322
湖北工业大学工程技术学院,502
湖北商贸学院,557
武昌工学院,1777
武汉工程大学邮电与信息工程学院,67
湖北汽车工业学院科技学院,2150
湖北师范大学文理学院,116
湖北文理学院理工学院,1605
长江大学文理学院,564
荆州学院,4146
武汉晴川学院,1126
武汉生物工程学院,1157
湖南工学院,34
湖南财政经济学院,353
湖南警察学院,1248
湖南医药学院,1620
长沙师范学院,898
湖南女子学院,632
湖南信息学院,1529
