专业名称,专业热度,ID
应用物理学,861806,988
核物理,436885,55
物理学,1205474,329
量子信息科学,208646,2630
应用统计学,754845,76
数据科学,4862,2680
生物统计学,0,2694
统计学,858770,888
古生物学,571912,366
地球信息科学与技术,229693,177
地球化学,121737,106
地质学,360748,235
人文地理与城乡规划,863783,194
地理信息科学,1039601,1153
地理科学,1100531,1144
自然地理与资源环境,713878,1197
分子科学与工程,267209,1071
化学,1130301,829
化学测量学与技术,60901,2662
化学生物学,547013,510
应用化学,807889,319
能源化学,184863,1381
资源化学,0,2673
应用心理学,1385024,336
心理学,2303576,326
天文学,832999,422
整合科学,93772,1385
生态学,347499,494
生物信息学,409934,1194
生物技术,1154916,899
生物科学,1408857,688
神经科学,158260,1384
信息与计算科学,1739272,931
数学与应用数学,1875557,959
数据计算及应用,355333,1382
数理基础科学,452502,730
地球物理学,316209,838
空间科学与技术,212980,968
行星科学,15295,2672
防灾减灾科学与工程,94085,1380
地球系统科学,0,2689
大气科学,469915,1083
应用气象学,466145,1099
气象技术与工程,115904,2631
系统科学与工程,195813,1378
民族学,305365,34
人类学,235015,35
女性学,443503,1177
家政学,243249,744
社会学,742893,723
社会工作,408957,381
社会政策,50542,2649
老年学,109335,2545
国际事务与国际关系,210398,52
国际政治,353687,894
国际组织与全球治理,84410,1386
外交学,530189,36
政治学、经济学与哲学,583824,574
政治学与行政学,396347,951
信用风险管理与法律防控,148888,1388
司法警察学,411768,1390
司法鉴定学,0,2690
国际法,0,2709
国际经贸规则,145629,1391
法学,3865762,115
监狱学,803102,175
知识产权,759338,105
社区矫正,117193,1389
纪检监察,55841,2714
中国共产党历史,172733,1067
工会学,0,2715
思想政治教育,367138,150
科学社会主义,198884,767
马克思主义理论,246188,1387
侦查学,824677,1073
公安情报学,208876,181
公安政治工作,69404,1393
公安管理学,302245,383
出入境管理,73984,1395
反恐警务,44809,2627
国内安全保卫,468247,526
技术侦查学,74488,1394
治安学,341328,167
海警执法,44812,1396
消防指挥,145570,285
消防政治工作,43133,2647
涉外警务,410183,309
犯罪学,478275,939
禁毒学,224971,354
移民管理,65554,1392
经济犯罪侦查,166065,1028
警务指挥与战术,443916,1116
警卫学,217570,1065
警犬技术,223849,152
边防指挥,104557,658
边防管理,148550,1233
铁路警务,21653,2703
乡村治理,0,2681
农村区域发展,145980,1230
农林经济管理,230561,44
人力资源管理,948232,625
会计学,1964539,1225
体育经济与管理,467609,584
创业管理,46108,2665
