展示名称,院校名称,院校 ID,院校曾用名,ID,创建人,创建时间,更新人,更新时间
江苏师范大学,江苏师范大学,146,,1785687440624700,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
江西农业大学,江西农业大学,147,,1785687440623628,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广西医科大学,广西医科大学,148,,1785687440806972,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
黑龙江中医药大学,黑龙江中医药大学,149,,1785687440811036,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
重庆邮电大学,重庆邮电大学,150,,1785687440618604,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖北工业大学,湖北工业大学,151,,1785687489716379,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南通大学,南通大学,152,,1785687489716395,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
新疆农业大学,新疆农业大学,153,,1785687489717339,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
青岛理工大学,青岛理工大学,154,,1785687489722411,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京中医药大学,南京中医药大学,155,,1785687489718379,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
长沙理工大学,长沙理工大学,156,,1785687489711163,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京语言大学,北京语言大学,157,,1785687489721371,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
华东政法大学,华东政法大学,158,,1785687489722395,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
青岛科技大学,青岛科技大学,159,,1785687489712187,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广东工业大学,广东工业大学,160,,1785687489712139,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
武汉科技大学,武汉科技大学,161,,1785687489714299,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
兰州交通大学,兰州交通大学,162,,1785687489720395,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
辽宁工程技术大学,辽宁工程技术大学,163,,1785687489711131,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
天津工业大学,天津工业大学,164,,1785687489713211,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
宁波大学,宁波大学,165,,1785687489722427,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
沈阳农业大学,沈阳农业大学,166,,1785687489714251,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京邮电大学,南京邮电大学,167,,1785687489712171,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
哈尔滨师范大学,哈尔滨师范大学,168,,1785687489717371,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
济南大学,济南大学,169,,1785687489719451,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
天津商业大学,天津商业大学,170,,1785687489713179,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
西安工业大学,西安工业大学,171,,1785687489716411,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
浙江海洋大学,浙江海洋大学,172,,1785687489715307,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
吉林财经大学,吉林财经大学,173,,1785687489713195,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
长春大学,长春大学,174,,1785687489718347,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北方工业大学,北方工业大学,175,,1785687489718395,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
青海民族大学,青海民族大学,176,,1785687489715291,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河北工程大学,河北工程大学,177,,1785687489719483,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
齐齐哈尔大学,齐齐哈尔大学,178,,1785687489711147,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
鲁东大学,鲁东大学,179,,1785687489710139,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
西北民族大学,西北民族大学,180,,1785687489719499,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
浙江中医药大学,浙江中医药大学,181,,1785687489720427,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
外交学院,外交学院,182,,1785687489715339,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河南财经政法大学,河南财经政法大学,183,,1785687489716363,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
贵州医科大学,贵州医科大学,184,,1785687489715323,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
